(27, 3.265304, 0.10204075000000001)
(27, 3.4693855, 0.10204075000000001)
(38, 3.673467, 0.10204075000000001)
(27, 4.2857115, 0.10204075000000046)
(38, 4.489793, 0.10204075000000046)
(27, 4.897956, 0.10204075000000046)
(27, 5.1020375, 0.10204075000000046)
(38, 5.306119, 0.10204075000000046)
(27, 5.9183635, 0.10204075000000046)
(38, 6.122445, 0.10204075000000046)
(27, 6.530608, 0.10204074999999957)
(27, 6.7346895, 0.10204074999999957)
(38, 6.938771, 0.10204074999999957)
(27, 7.5510155, 0.10204074999999957)
(38, 7.755097, 0.10204074999999957)
(27, 8.16326, 0.10204075000000046)
(27, 8.3673415, 0.10204075000000046)
(38, 8.571423, 0.10204075000000046)
(27, 9.1836675, 0.10204075000000046)
(38, 9.387749, 0.10204075000000046)
(27, 9.795912, 0.10204075000000046)
(27, 9.9999935, 0.10204074999999868)
(38, 10.204075, 0.10204075000000046)
(27, 10.8163195, 0.10204074999999868)
(38, 11.020401, 0.10204075000000046)
(27, 11.428564, 0.10204075000000046)
(27, 11.6326455, 0.10204074999999868)
(38, 11.836727, 0.10204075000000046)
(27, 12.4489715, 0.10204074999999868)
(38, 12.653053, 0.10204075000000046)
(27, 13.061216, 0.10204075000000046)
(27, 13.265297499999999, 0.10204075000000046)
(38, 13.469379, 0.10204075000000046)
(27, 14.0816235, 0.10204075000000046)
(38, 14.285705, 0.10204075000000046)
(27, 14.693868, 0.10204075000000046)
(27, 14.8979495, 0.10204075000000046)
(38, 15.102031, 0.10204075000000046)
(27, 15.7142755, 0.10204075000000046)
(38, 15.918357, 0.10204075000000046)
(27, 16.32652, 0.10204075000000046)
(27, 16.5306015, 0.10204075000000046)
(38, 16.734683, 0.10204075000000046)
(27, 17.3469275, 0.10204075000000046)
(38, 17.551009, 0.10204075000000046)
(27, 17.959172, 0.10204075000000046)
(27, 18.1632535, 0.10204075000000046)
(38, 18.367335, 0.10204075000000046)
(27, 18.9795795, 0.10204075000000046)
(38, 19.183661, 0.10204075000000046)
(27, 19.591824, 0.10204075000000046)
(27, 19.7959055, 0.10204075000000046)
(38, 19.999987, 0.10204075000000046)
(27, 20.6122315, 0.10204075000000046)
(38, 20.816313, 0.10204075000000046)
(27, 21.224476, 0.10204075000000046)
(27, 21.4285575, 0.10204075000000046)
(49, 22.857128, 0.10204075000000046)
(27, 22.857128, 0.10204075000000046)
(46, 23.0612095, 0.10204075000000046)
(27, 23.265291, 0.1020407499999969)
(38, 23.265291, 0.1020407499999969)
(44, 23.265291, 0.10629244791666537)
(46, 23.4693725, 0.10204075000000046)
(27, 23.673454, 0.10204075000000046)
(44, 23.677705697916668, 0.1020407499999969)
(46, 23.8775355, 0.10204075000000046)
(27, 24.081617, 0.1020407499999969)
(38, 24.081617, 0.1020407499999969)
(44, 24.085868697916666, 0.10204075000000046)
(46, 24.2856985, 0.10204075000000046)
(27, 24.48978, 0.10204075000000046)
(44, 24.491905848958332, 0.10204075000000046)
(46, 24.6938615, 0.10204075000000046)
(27, 24.897943, 0.1020407499999969)
(38, 24.897943, 0.1020407499999969)
(44, 24.897943, 0.10629244791666537)
(46, 25.1020245, 0.10204075000000046)
(27, 25.306106, 0.10204075000000046)
(44, 25.31035769791667, 0.1020407499999969)
(46, 25.5101875, 0.10204075000000046)
(27, 25.714269, 0.1020407499999969)
(38, 25.714269, 0.1020407499999969)
(44, 25.718520697916667, 0.10204075000000046)
(46, 25.9183505, 0.10204075000000046)
(27, 26.122432, 0.10204075000000046)
(44, 26.124557848958332, 0.10204075000000046)
